Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170206_1,N54798,Day5,4,3,F,394,old,13.4,10.553,4.7,4.064,0,0,0,0,8.7,6.489,0.6492537313,0.614896238,0.7875373134,0.745862069
170206_2,N54805/N54800,Day5,4,3,F,394,old,18,23.761,8.2,13.536,2.5,3.703,1.9,2.393,5.5,4.13,0.3055555556,0.1738142334,1.3200555556,0.7509090909
170206_3,N54801,Day5,4,3,M,393,old,57.3,98.093,18.9,34.905,4.9,10.586,6.5,13.11,27,39.493,0.4712041885,0.4026077294,1.7119197208,1.4627037037
170206_4,N54802,Day5,4,3,M,393,old,9.2,9.603,0.7,1.835,0,0,1.6,1.606,6.8,6.162,0.7391304348,0.6416744767,1.0438043478,0.9061764706
170206_5,N54803,Day5,4,3,M,393,old,14.1,8.292,6,5.867,0,0,0,0,8.1,2.425,0.5744680851,0.2924505548,0.5880851064,0.299382716
170206_6,N54804,Day5,4,3,M,383,old,10.7,2.163,0,0,0,0,0,0,10.7,2.163,1,1,0.2021495327,0.2021495327
170206_7,N54806,Day5,4,3,M,383,old,8.1,10.193,4.2,8.161,0,0,0,0,3.9,2.032,0.4814814815,0.1993524968,1.2583950617,0.521025641
170206_8,N54807,Day5,4,3,M,383,old,6.6,7.702,2.6,5.965,0,0,0,0,4,1.737,0.6060606061,0.2255258374,1.166969697,0.43425
170206_9,N54818,Day5,4,0,M,367,old,19.1,15.732,7.1,6.85,0,0,2.2,1.54,9.7,7.341,0.5078534031,0.4666285278,0.8236649215,0.7568041237
170206_10,N54824,Day5,4,0,M,367,old,23.6,29.923,11.3,17.043,0,0,0,0,12.4,12.88,0.5254237288,0.4304381245,1.2679237288,1.0387096774
170206_11,N54825,Day5,4,0,M,367,old,9.7,7.899,4.6,5.146,0,0,0,0,5.1,2.753,0.5257731959,0.3485251298,0.8143298969,0.5398039216
170206_12,N54826,Day5,4,0,M,367,old,7.3,7.866,2.4,5.604,0,0,0,0,4.9,2.261,0.6712328767,0.2874396135,1.0775342466,0.4614285714
170227_1,N54859,Day5,4,0,F,120,young,4.2,1.704,0,0,0,0,0,0,4.2,1.704,1,1,0.4057142857,0.4057142857
170227_2,N54860,Day5,4,0,F,120,young,3.3,0,0,0,0,0,0,0,3.3,0,1,,0,0
170227_3,N54861,Day5,4,0,F,120,young,8.1,1.049,0,0,0,0,0,0,8.1,1.049,1,1,0.1295061728,0.1295061728
170227_4,N54873,Day5,4,0,F,120,young,3.2,0.328,0,0,0,0,0,0,3.2,0.328,1,1,0.1025,0.1025
170227_5,N54874,Day5,4,0,F,120,young,10.4,11.143,1.5,3.736,0,0,2.2,2.229,6.6,5.178,0.6346153846,0.4646863502,1.0714423077,0.7845454545
170227_6,N54875,Day5,4,0,M,120,young,16.6,21.139,0.7,1.737,0,0,1.7,2.917,14.2,16.485,0.8554216867,0.7798382137,1.2734337349,1.160915493
170227_7,N54876,Day5,4,0,M,120,young,19.6,13.962,12.3,9.636,0,0,0,0,7.3,4.326,0.3724489796,0.309840997,0.7123469388,0.5926027397
170227_8,N54877,Day5,4,0,M,120,young,13.8,17.206,3.1,9.111,0,0,1.4,2.622,9.3,5.473,0.6739130435,0.3180867139,1.2468115942,0.5884946237
170227_9,N54879,Day5,4,0,M,120,young,23.6,25.531,16.9,20.582,0,0,0,0,6.7,4.949,0.2838983051,0.1938427794,1.0818220339,0.7386567164
170227_10,N54880,Day5,4,0,M,120,young,15.9,15.863,2.2,4.588,0,0,0,0,13.7,11.274,0.8616352201,0.7107104583,0.997672956,0.822919708
