Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
22,200331_2,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR_2,7,6.8,0.53968254,38.7,3.5,3.3,3.8,1.1,2,5.8,0.46031746,51.7,1.9,3.9,3.1,0,21,82.8,3.702,1.3,0.042,64.2,24.1,67.4,7.1,10,9.5,0.234,0,0.073,3.2,0,0,1,1.1,,0,5,5.3,49.7,0,,,3.936,7.1
23,200331_1,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR,4,2.5,0.384615385,1.4,2.5,0,1.7,0,6,4,0.615384615,0,4,0,2,0,21,84.5,2.991,8.9,0.031,48.2,49.6,55.3,32,4,8,0.283,0,0.04,7.1,0,0,2,2.2,12.2,0,2,1.7,,0,27.9,28.4,3.274,32
24,200331_4,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR,3,1.8,0.473684211,37.9,1.8,0,1.8,0,2,2,0.52631579,66,2,0,0.8,0,20,99.7,7.094,1.8,0.064,93.3,18,94.5,11.9,6,2.1,0.097,0,0.08,1.2,0,0,3,1.2,,0,2,1.1,,0,23.2,20.3,7.191,11.9
25,200331_3,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR_2,5,2,0.131578947,76.5,2,0,0.7,0,7,13.2,0.868421053,20.8,9.7,3.5,4.7,1.1,22,70,4.246,1.5,0.06,70.7,0,78.8,5.8,18,18.5,0.265,0,0.033,8.1,0,0,6,9.6,92.1,0,5,5.2,,0,,,4.511,5.8
26,200331_5,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR,2,1.2,0.461538462,0,1.2,0,0.2,0,2,1.4,0.538461539,3.5,1.4,0,1,0,10,104.3,4.62,7.1,0.042,79.6,31.2,85.9,20.3,3,6.5,0.208,0,0.033,6.3,0,0,4,1.9,,0,3,4.1,,0,18,20.7,4.828,20.3
27,200331_6,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR_2,2,1.9,0.441860465,0.4,1.9,0,1.2,0,2,2.4,0.558139535,2.7,2.4,0,0.4,0,5,104.9,3.021,11.3,0.028,34.4,72.5,45.4,74,1,10.6,0.39,0,0.035,11,0,0,3,2.5,,0,2,1.8,,0,,,3.411,74
28,200331_8,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR,8,10.4,0.52,28,10.4,0,3.7,0,11,9.6,0.48,0,9.6,0,4.9,0,23,63,5.294,1.7,0.084,56.2,7,71.1,0,14,22.4,0.688,0,0.046,14.9,0,0,4,3.7,91.3,0,9,8.1,94.9,0,12.3,10,5.982,0
29,200331_7,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR_2,4,2.3,0.163120567,23.1,2.3,0,0.9,0,7,11.8,0.836879433,2.2,9.8,2,5.1,0,17,73.8,3.43,5.3,0.044,53.6,24.4,66,22.7,11,17,0.477,0,0.032,12.4,2.6,0,3,4.7,61.1,0,5,7.5,53.3,0,,,3.907,22.7
30,200331_9,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR,8,10.1,0.497536946,7,10.1,0,3.8,0,8,10.2,0.502463054,0,5.5,4.7,4.6,0,21,63.7,4.486,11.9,0.071,46.5,17,61.5,5.3,23,29.6,0.691,0,0.04,15,2.4,0,6,11.4,,0,3,3.9,108.9,0,15,11.2,5.177,5.3
31,200331_10,APOE22F,F,APOE2/2,A,Dilutions,old,1,2Objects_NOR_2,4,8.2,0.621212121,4.2,5.7,2.6,4.2,0,4,5,0.378787879,4.7,5,0,2.5,0,20,73.4,3.819,17.4,0.049,50.2,27.1,66,6.9,10,24.7,0.524,0,0.029,15.8,2.5,0,5,9,,0,3,6.5,,0,,,4.343,6.9
